"","No","事故状況","ガス種","原因","結果","突発性","状況"
25,16949,"水素ガスは、粗アルゴンガスの精製用に3日に1回の頻度で、水素ローリーより水素ホルダーへ受け入れしている。また、事故当時、空気液化分離プラントは通常運転中であった。7時39分より水素受入れ作業開始。7時43分水素ガス警報器が発報。7時44分に水素ガス警報器リカバリー。7時46分に発泡液にて漏れ箇所特定。微量漏れえあることを確認。当該フレキホース両側のバルブを閉止した。","a","d","a","c","b"
26,17181,"7月2日14時20分、液化メチルアミン装置５階のジメチルアミンガス検知器が発報（発報設定値は4ppm）、現場パトロールを行ったところ白煙を確認した為、アミンガスの漏えいと判断した。
14時32分　液化メチルアミン装置の緊急停止、消防局へ通報
14時36分　所内防火防災隊の発動","a","d","a","c","a"
27,13067,"事業所では、当該設備について7月23日から8月27日までの間、定期自主検査を実施し、その後の9月23日に製品製造のための前準備として還元反応槽の水素置換を完了し、9月27日に検査後初めての製造を開始するところであった。9月26日、薬品製造における還元反応工程の自動操作を起動した。27日(日)16時20分、還元反応槽への水素自動導入が開始した。しかし、還元反応槽の内圧が一定の圧力まで上昇しなかったため、作業員が水素供給設備へ確認に向かった。16時26分、監視作業員がDCS上で水素供給ラインの弁が閉止状態であることに気づき、作業員に弁の開閉状態の確認を指示した。作業員が手動で弁を開き、還元反応槽の水素導入を行った。16時32分、監視作業員がDCS上で「水素使用積算量の異常な上昇」および「水素一次圧力の異常な低下」が続いていることに気づき、作業員に水素供給設備の調査を指示し、作業員も水素の容器側圧力と一次圧力が低いことを確認した。16時41分、状況調査中の作業員が水素供給ラインの還元反応槽直近の安全弁が吹いている音を聞き、建屋外に設置されている安全弁放出管を確認したところ、水素が放出されていた。17時11分、係長の電話指示を受け、還元反応の停止操作を開始した。17時15分、供給元の水素容器側から順に弁を手動で閉止し、安全弁からの吹き出しを止めた。21時51分、還元反応槽の温度が37℃となり、圧力の変動も見られないことから、安全な状態になったと判断し、対応を終了した。原因は、2直作業員から3直作業員への作業申し送りにより、9月26日に水素ガス圧力を下げるよう微調整を行った際、一次減圧弁および二次減圧弁の圧力ゲージの変化がなかったにもかかわらず、誤って開く方向に操作し続け、操作後、そのままにしたためと推定される。また、圧力が変化しなかったのは、9月23日の置換作業において水素ガスの導入をバイパスラインで行い、かつ、置換作業後に水素供給ラインの弁を開かなかったためと考えられる。なお、これらの作業手順の一部はマニュアルに記載がなく、定められていなかった。今後は、当該減圧弁の開閉方向の表示を改め、「右に回せば昇圧」とした。また以下の手順を定め、マニュアルに記載する。①置換作業における水素ガスの導入は、供給ラインの弁を使用し、バイパス弁は使用しない。②一次、二次減圧弁の操作手順(水素置換作業後は操作しない。操作が必要な場合には、保安係員の立会のもとで行う。③水素ガスの漏えいがあった場合は、まず、水素ガスの供給を停止する。④DCSソフトを変更し、インターロック(水素供給ラインの弁が閉止状態の場合には、工程を一時停止し、警報を発報する)を取り付ける。⑤当該設備についてリスクアセスメントを実施し、その結果をふまえた改善対策を行う。⑥上記について、周知・教育を実施する。","a","b","a","a","b"
28,16997,"2/21
23：59　重合缶へブタジエンチャージ開始
2/22
0：03　保安監視システムにて重合缶可燃性ガス検知器警報作動
0：04　チャージ停止、フィールドオペレーターが現場確認へ向かう
0：13　重合缶上部の配管よりブタジエン漏えい確認、散水を開始
0：14　重合缶へ水押し開始（水押し量：1.14m3）
0：15　副防災管理者へ連絡
0：19　緊急放送実施
0：20　災害対策本部設置
0：20　ライン水押し終了
0：21　公設消防へ通報
0：22　技術説明者配置
0：26　現地本部設置
0：28　千防協へ連絡（出動不要）
0：30　公設消防守衛到着
0：39　警察入場
0：40　自衛防災隊現地本部到着
1：13　消防局現場漏れ停止確認
1：23　警察退場
1：25　県工業保安課より連絡
1：35　公設消防退場","a","d","a","c","b"
29,611,"パークロルエチレンの設備の循環ポンプを定期点検のため、元バルブを閉じて配管を取り外したところ、配管に残っていた塩素ガスが漏れ、同工場北側の水田一帯に流れ稲が黄変した。塩素ガスの漏れた量は約120㍑.","b","d","c","c","c"
30,15194,"通常運転中の空気分離プラントにおいて、13時08分にアルゴンタンクから貯槽の内外槽の間に充てんされているパーライトが噴出しているのが発見された。直ちにアルゴンタンクを減圧し、アルゴンガスおよびパーライトの噴出を停止させた。原因は、内部配管の溶接部において割れが発生し、タンク内外槽間にアルゴンガスが漏えい(約4m3)し、内外槽間の圧力が上昇し、安全栓(真空破壊装置)作動により、アルゴンガスおよびパーライトが外部に噴出したと推定される。内部配管の取替修理を実施した。同一仕様のアルゴンタンクおよび保安用窒素タンクについても、内部配管の取替修理を平成30年度中に実施予定である。","d","a","a","c","d"
31,2924,"界面活性剤製造装置の運転中、反応槽の流量を変更した時、流量計の指示が大きく上昇したので担当者が現場に確認に行ったところ、配管フランジ部から酸化エチレンが漏えいしているのを発見した。直ちに計器室に報告するとともにポンプを停止し、貯槽の緊急遮断弁を閉止した。配管フランジ部に取り付けられたアスベストガスケットが劣化欠損し、噴出漏えいしたもの。","c","a","a","b","a"
32,16401,"酸素高圧ポンプ停止時の点検中に、フレキシブルジョイントから酸素ガスが微量（気泡が発生する程度）漏えいした。直ちに前後のバルブを閉止し、酸素ガスの漏えいを止めた。酸素高圧ポンプ点検中にサクション部のフレキシブルジョイントから、微量（気泡が発生する程度）の酸素ガスの漏えいを確認した。フレキシブルジョイントは2018/8に新品に交換しており、約半年で漏えいが生じたことから製作会社に調査を依頼した。事故の要因は、①設置時の物理的な負荷、②振動、③製作不良による強度不足の3つの複合的な要素が絡んだ結果と推測される。","a","a","a","b","b"
33,16207,"1/29　20:00頃、S-2プラント停止操作中、冷凍機（2GC-701）が低圧異常点灯にて連続運転不可となった。翌1/30～31にかけて点検したところ、冷媒（R-404A）が漏えいしているのを発見した、冷媒推定漏えい量63㎏。人的被害無し。プラント停止操作に影響無し。
漏えい場所：①高圧部圧力計接続部（増し締めにより漏えいが止まる。）　②膨張弁全9個のうち1個が破損（内部ベローズ破損しているものと推定。）①高圧圧力計接続部：冷凍機の振動により接続部（ねじ込み式）が徐々に緩んだものと推定。
（2018/4の停止時検査時には漏えいが認められないことを確認している。）
②膨張弁：長期間使用により、ベローズ側とモーター側のシール性が低下して水分が浸入し、ベローズ内に浸入した水分が氷結と融解を繰り返したことによりベローズにき裂が生じ冷媒側と大気側が繋がり、冷媒が本体の接合部から漏れたものと推定。","d","a","a","b","b"
34,6028,"XDIプラントの4階をパトロール中の運転員が臭気を感じ、点検を実施したが漏えい箇所を特定できなかったため、運転を停止して反応系の脱圧及び気密試験を行うこととなった。系内の脱圧のためガスを回収塔へ送る操作を開始し、脱圧を速やかに行うために除害設備への脱圧に切り替えたところ、除害不十分なガスが大気中へ流出した（推定漏えい量は最大で800立方m）。脱圧先を回収塔へ戻したため流出は停止し、その後脱圧を完了した。その後、漏えい箇所は4階に設置されていた熱交換器のフランジ部であることが判明し、ボルトの増し締めを行い、気密試験を実施し、漏えいがないことを確認した。除害設備からの流出は、作業手順ミスが原因である。除害設備へON-OFF弁を用いて脱圧を行う場合、操作は反応器内圧が0.1MPaになってから行うべきであったが、急ぐあまり0.3MPaの状態で行ったため、一時的に除害設備が高負荷となった。熱交換器からの漏えいは、外気温の変化によりフランジのボルトが徐々に緩んだものと推定される。事故防止の対策として、ON-OFF弁については、操作する際に0.1MPa以上の内圧時は開とならないように改良し、0.1MPa以上の内部圧力を除害設備へ脱圧する必要がある場合は、緊急脱圧ラインを使用するよう徹底することとした。また、脱圧操作について、作業員の再教育を実施することとした。さらに、熱交換器のフランジボルトは、半年に1度、定期的な増し締めを実施することとした。","a","a","a","b","a"
35,17874,"2021/3/27 フロン排出抑制法に則った定期点検(3年に1回）の結果、当該機器での異常値（冷媒温度高）を確認。当該機器は恒温室として終夜運転しており、機器を設置している居室には、顧客データを取得するための連続運転機器を設置しており、空調設備の停止は困難と判断。フロン排出抑制法に則り、一度限りの冷媒充てんを実施の上、漏えい箇所特定の検査と機器補修を手配。
2021/4/5 蛍光剤を1系統に注人し漏えい個所特定を開始。
2021/4/23 蛍光剤を2系統目にも注人して漏えい個所特定を開始。
2021/5/12 高圧ガス保安法に該当するのでは無いかと判明。
2021/5/13 県ヘ一報（この時点では、法定冷凍トン(5トソ未満か以上か）確認中と説明）。
2021/5/20 漏えい箇所の特定完了。機器補修を手配。
2021/5/13 仕様書を確認。メーカーに冷凍測での冷凍能力（法定冷凍トン）表記か確認し、5トン以上と確定。
2021/5/24　漏洩部の肉盛り補修を実施。＊フロン漏洩防止のための暫定措置。今年度中に機器自体を更新する。","d","d","a","c","c"
36,17548,"ガス炉出口配管において、穿孔が生じ、混合ガス（毒性ガス、可燃性ガス）及び同伴する水蒸気が漏えいしたもの。
計器室において、運転員が異常音を感知し、蒸気噴出を監視カメラで認めたことから、直ちに、当該設備を停止し、脱圧、窒素パージ後に現地確認したところ、高圧ガス配管の穿孔と確認された。
異常感知後、直ちに設備停止したものの、一定範囲のブロック化されたプロセスの混合ガス(CO,H2,CO2,H2S,CH4)と水蒸気が1,540Nm3漏えいしたと推定される。
また、穿孔の原因についてはエロージョンによるものと推定される。","c","a","a","b","a"
37,17822,"低圧部のガス設備（常用の圧力0.44MPa）であるミストエリミネーターの内部フィルター清掃の為、上下流側のバルブを閉止することで縁切りを行い、脱圧及びパージ作業を実施。パージ完了後、工事業者6名でミストエリミネーターのフランジ開放作業中に北東側にいた2名が塩素ガスの臭気を感じたため、作業員は全員現場から退避した。その後除害塔への陰圧吸引強化（吸引ラインを1→2本に変更）し、ミストエリミネーター内の塩素を除害し、開放中のフランジを閉じた。
退避した北東側にいた2名の作業員に咳き込みの症状が発生した為、医療機関を受診（レントゲン検査結果：異常無し）の 診断後、現場復帰した。","b","d","d","c","c"
38,3055,"高圧法ポリエチレン製造装置の運転中、製品濃度を調整するためバルブを開けアセトンの注入作業を行っていた。手動バルブを開けようとしたがハンドルが空廻りしたため、パイプレンチでハンドル軸をまわしたところグランドナットが回転・脱落しエチレンと酢酸ビニルモノマーの混合液が噴出し作業員が負傷した。","a","d","d","c","a"
39,17923,"令和3年8月10日よりスタートアップ操作を開始し、8月16日よりヘキサンによるオイルランを開始していた。8月21 日3時30分頃、定期パトロール中に臭気を感じ周囲を捜査したところ、3時35分頃に当該安全弁のボンネットベントホールからヘキサンの微量漏えいを確認したもの。","a","d","a","c","b"
40,15155,"11月10日13時40分頃、液化アンモニアローリからタンクへの受入準備として、液側、ガス側のフレキシブルホースを接続した。14時10分、ローリとタンク側接続弁を開け、石けん水で漏れがないことを確認した。14時27分、アンモニア受入ポンプでタンクへの移送を開始した(定常作業)。受入ポンプが停止となり、各バルブ閉止等の操作完了後、16時00分に製造G担当者からローリ運転手にフレキシブルホースの取り外しを指示したところ、アンモニア臭気があると運転手から連絡があった。ホースを石けん水で確認したところ、ガス側ホースの端部から5cm付近で発泡があり、漏れがあることを確認した。ガス側ライン(フレキと配管約0.5m)に残っているアンモニアガスを除害槽へ脱圧、0.5MPa窒素で加圧脱圧による置換作業を開始した。","c","d","a","c","a"
41,9632,"定期整備実施後の総合気密試験において合格した後、スタートアップ中の点検強化としてスマートエルダ測定を実施したが、ガス検知器により検知できないような微少の漏えいの可能性を感知した。調査の結果、当該プラグ部より漏えいを発見した。発見後、直ちにプラグの締め込みを実施した。原因は、締結管理不良と推定される。","d","b","a","b","c"
42,16946,"接触改質装置の連続触媒再生装置（CCR）還元水素配管より水素が漏えいした。
不具合覚知後、連続触媒再生装置（CCR）の運転を停止し、漏えいの停止を確認した。","a","d","a","c","a"
43,16123,"イソブチレン抽出装置はブタジエン原料ガス（ブタン・ブテン留分）から、硫酸でイソブチレンを抽出する設備で、装置は定期整備後のスタートアップ作業中だった。当該装置の近傍で製造1グループ運転員が弁操作を実施しているところ、臭気を感じ、皮膚にヒリヒリする感覚を覚知した。周辺を点検したところ、E-1171出口配管部でLPガス漏えいを発見した。直ちに班長に報告し、119番通報を依頼するとともに、装置のESD（緊急停止）を指示し、漏えい箇所周辺のブロック作業を開始した。漏えいは、E-1171からD-1171行きのT字管に設置している閉止フランジの知らせ穴で発生した。当該閉止フランジを開放して内面を確認した結果、本来の仕様であるテフロンライニング（=テフロン製シートガスケット）が無く、炭素鋼部が接液する状況であったことが判明した。当該閉止フランジが設置されているT字管を2004年定期整備時に取り替えており、この工事の際にテフロン製シートガスケットを挿入せずに復旧したことに加えて、知らせ穴の内部が雨水等による錆により閉塞していたため、テフロンシートの挿入漏れが発覚せず、今回の漏えいに至ったものと推定。","a","b","d","b","b"
44,17080,"チラーユニット廃止によりユニット内の冷媒を抜き取った結果、#1冷凍サイクルについては出荷時の封入冷媒量2.2kgに対し残量1. 765kg、#2冷凍サイクルについては封入冷媒量2.2kgに対し残量1. 015kg、#3冷凍サイクルについては封入冷媒量2.2kgに対し残量1. 44kgで、合計2. 38kgの冷媒の減量が判明した。凝縮器を分解し、詳細部分の調査を実施した結果、圧力降下の有った#2及び#3の凝縮器については、冷却水に茶色異物と緑青や赤錆の付着が有り、プレートの接合部は銅ろう材が腐食溶出し、剥がれが確認出来た。#1については0. 5kg程度の減量が見られたが、冷媒回収時の接続時の漏れ、冷凍機油への溶け込み、冷媒回収機内部の残存等がある。また、凝縮器気密試験で気密破壊も無い事から運転時の漏えいでは無い。（メーカー見解）","d","a","a","b","d"
45,16993,"水素製造装置が通常運転していたところ、２０時３５分に運転員が現場パトロール時に、メタネーターの出口下流弁の上流側フランジよりガス漏えいを確認した。公設消防へは２０時３８分に通報した。","a","d","a","c","a"
46,14566,"3月16日18時17分、オペレーターが製造施設内でブタジエン臭気に気づき、PLY-10TK(容量5770kg、缶圧145kPa、内温80℃)マンホール部より、ブタジエンの漏えいを発見した(可燃性ガス検知器の作動なし)。18時27分、PLY-10TK(反応器、ブタジエン仕込み量222kg)漏れ発見により、ボルトの増し締めをするも漏えいが止まらないため、ブタジエンの回収を実施した。119番通報を行った(18時35分、災害対策本部設置、18時37分に消防到着)。18時29分、部課長および副防災管理者へ報告した。この時点でブタジエン回収により、漏れは停止した(缶圧51kPa、内温80℃)。19時07分、公設消防がブタジエン漏れなしを現場で確認した。19時24分、公設消防が撤収した。","a","d","a","c","d"
47,17973,"運転中の高圧ガス製造施設において、海水回収槽内にあるガス検知器が発報した為、施設内の各熱交換器ごとに調査を行った所、熱交換器内部より海水側へのガス流入した事がわかった。当該熱交換器の海水をブロックし、装置は計画的に停止を実施した。","d","d","a","c","a"
48,16804,"12月26日（木）午前3時30分、凝縮器低圧異常発生。業者へ点検依頼し、フロン回収により20.28kgの冷媒漏洩を確認した。原因は調査中。","d","d","a","c","a"
49,16238,"4EP エチレン冷凍系（C-601系）において、エチレンのロスが増大していることが判明した。ロスの原因としては、①大気への漏れ　②プロセスへの内漏れ　③用役系への内漏れ　④計量上の問題（単なる誤差）等々が考えられるため、調査を継続していた。結果、原因の特定に至っていないが、過去の開放検査結果や劣化環境から、③用役系への内漏れの可能性が高いと考え、4EPを計画的に停止して、当該する熱交換器を中心に点検を実施し、E-601のチューブ1本にピンホールを確認した。
当該熱交換器は、シェル側がエチレン（高圧ガス）、チューブ側が冷却水（非高圧ガス）である。チューブの開孔により、エチレンが冷却水側へと漏えいした。冷却水は、他の設備に流れるものと合流し、冷却塔で大気開放される。開孔し漏えいに至った日時が明確に出来ないことから、ピンホールの発見日時を発生日時としている。詳細は調査中だが、チューブの内容物である冷却水は工業用水を使用している。直近の開放検査でも腐食を確認しており、工業用水による腐食が進んで開孔に至ったものと推定する。","a","a","a","b","a"
50,9143,"第二潤滑油水素化精製装置内で、作業員が2階部分から油滴が落ちていることを発見した。調査の結果、2階部分に設置してある高圧セパレーターのボトム抜出ラインの下部ドレン付近から水素を含む油が漏えいしていることを発見した。直ちに施設を緊急停止し、消防通報等を実施した。安全確認後、漏えい箇所の保温材を解体したところ、配管から漏えいしていることが判明した。原因は、外面腐食による減肉したためと推定される。","a","a","a","b","a"
51,17799,"1月30日22時ごろに、冷凍設備が異常停止したため、点検したところ、冷媒（R404A）が漏えいしていた。メーカーによる調査の結果、凝縮器2次側の冷媒調節弁からの冷媒リークが判明した。","d","d","a","c","a"
52,10208,"事業所内の冷凍設備で、平成23年12月22日に、年末年始の生産停止のため運転を停止し、平成24年1月10日、生産開始に伴い、冷凍機を起動した。2～3時間後、冷媒圧力が低下したため、冷凍設備の運転を停止した。しかし、外気温が低く、冷凍機を稼動しなくても空調運転には支障がないため、空調運転は続行していたが、2月24日、空調を停止した。この冷凍機設備は、省エネと老朽化対応の目的で、2011年度の予算化されていた更新工事を計画しており、3月1日、事業所内の冷凍設備更新のため、冷凍設備事業者が冷凍設備の冷媒を回収しようとしたところ、回収できなかったため、56kgの冷媒全量が漏えいしていることが判明した。原因は、冷水内に冷媒ガスオイル分が混入していたことから、冷媒と冷水が熱交換するプレート式熱交換器の壁面が、循環冷却水を起因とする局部腐食したためと推定される。局部腐食の原因としては、熱交換器のストレーナー、配管に錆の付着が見られたことから、錆などのスケールが付着したためと考えられる。今後は、水への防腐剤の添加と半年毎の水質検査で使用流体の水質管理を徹底する。","d","a","a","b","b"
53,789,"塩化ビニルモノマー製造装置の粗モノマータンク（圧力6.0㎏/c㎡、温度40℃）からアセチレン分離塔（圧力6.8㎏/c㎡、温度50℃）に至る配管の途中に取付けられたストレーナーの清掃作業を行なうことになった。ストレーナー前後のバルブを閉じた後、ストレーナー内の残留モノマーをガスホルダーに回収した。作業員は残留モノマーが全部回収し終わったものと判断し、ストレーナーのふた板を開けたが気化熱で混入していた水分が凍りつき金網かごがケースより引出せない状態であった。そこでストレーナーに水を注ぎ込み氷を溶解させたとき、入口バルブからガスが漏えいしているのに気付きバルブを閉めたが止まらないためハンドルを廻し（長さ500㎜）を使って増し締めを行なった。このときバルブ（鋳鉄製）のヨーク部が破断し、バルブが全開状態となり、約4㌧のモノマーが約1～2分間で噴出・漏えいした。モノマー噴出と共に作業長は火気、回転動力機等のスイッチを切り退避したが約15分後に爆発が起こり数10ｍの火柱が上がった。火災は他の施設にも広がり約45時間燃え続けた。","c","b","e","a","c"
54,3440,"界面活性剤製造工場で酸化エチレン製造装置の反応槽のステアリルアニンアルコールに酸化エチレンを注入し反応させていたところ、反応槽の上部フランジ部ガスが漏えいし引火・爆発した。直ちに消防署に通報すると共に自力での消火作業にあたり鎮火させた。反応槽への原料仕込時にこぼれた原液の一部がふき取り不十分であったため、アスベストガスケットに浸透し局部的に劣化していたところに位置ずれを起こしていた。このため締め付け不良となりガスが漏えい・引火し反応槽内部で爆発が起きたものとみられている。近くに従業員がいなかったため、けが人はなかった。","c","b","b","b","a"
55,13542,"1月10日、冷却塔の冷却水戻りラインに設置しているガス溜ポットに気体が溜まったことを検知した。溜まった気体の分析をしたところ、気体中にプロピレン/プロパン 100ppmを検知した。プロピレン系で冷却水を使用している熱交換器E-404A～F,E-406の冷却水出口配管に、点検用ガス溜ポットを設置し、順次冷却水中のガス成分を確認した結果、1月21日に、E-404Cからプロピレンが検出された。直ちに、E-404Cのプロセス側、冷却水側の縁切りを実施した。E-404C縁切り後、冷却水ガス溜ポットからのプロピレン検出はなかった。2月1日～8日、E-404Cを開放し、漏れ検査を実施し、熱交換器フローティングヘッドカバー部(ガスケット)からカニ泡漏れを確認した。その他、検証のための検査を実施した。当該熱交換器は2014年に開放点検を行った。開放点検後の復旧にて、熱交換器のフローティングヘッドカバーを取り付ける際、このカバーにガスケットをテープで貼り付けて固定するが、ガスケットがずれていたため、チャンネル側に接触したことで変形が生じ、そのまま取り付けられ、この影響でガスケットの締め付けが偏り、経時的な変化でリークに至ったものと推定される。ガスケットの上部に変形が見られるが、シート面に打痕、腐食はなく、ボルトの締め付けに弛みもありませんでした。また、E-404Cの本体、チューブ共に漏れ箇所はなかった。今後は、熱交換器のフローティングヘッドカバー取り付け時のガスケット固定方法をカバー側からチャンネル側に変更することでガスケットがずれることを防止すると共に、カバー取り付け位置のずれも目視確認する作業を追加する。また、この2点を作業のチェック項目に入れ、記録を残すこととする。","a","b","a","b","d"
56,16987,"サブクーラー更新のため冷媒を抜いたところ封入量1,550kgに対して回収量468.4kgであった。漏えいが疑われたので漏れ確認を行ったところ凝縮器チューブの1本から漏れが確認された。漏れた箇所は不明であるが、このチューブの両端を塞いで再利用する。漏れた量は1,081.6kgと推定される。","d","d","a","c","c"
57,119,"アセチレン精製塔の上部にビームを取付け作業中爆発した。精製塔に残留していたアセチレン溶接の火花から着火したもの。","a","d","b","c","c"
58,5285,"川の橋脚脇にて使用していた酸素容器（内容量7L）とアセチレン容器（質量約7㎏）が、降雨によりボンベ台車と共に流失した。その後、販売業者及び消費者が共同で容器の捜索を行ったが発見出来なかった。","a","c","h","a","d"
59,16979,"高圧ポリエチレンプラントの定期修理期間中（3月1日～4月25日）、起動準備のため4月20日00時00分からエチレン凝縮装置のフロン12の流路設定を開始し、弁の開閉確認のためバルブキャップを外そうとしたが手回しで外れなかった。そのためパイプレンチを用いてバルブキャップを外そうとしたところ、バルブボンネットがバルブキャップと共回りして外れ、配管内の冷媒（フロン12、圧力：0.02MPaG、温度：－10℃）が漏えいし、運転員1名が両手と両太腿に被液した。フロン12の漏えいは被災者本人が直ちに後弁を閉め停止した（漏えい量：0.4kg）
被災者は救急車で医療センターに搬送され、凍傷と診断された。","d","a","d","a","c"
60,16583,"通常運転中、定常の現場パトロールにHE-1723の入口配管が結露していることに気付いた、周囲を点検したところ入口配管から取出している当該ノズルの弁取付溶接線（下側）に10mm程度の白い球が付着していることに気が付いた。注視したところ、そこからわずかに陽炎のような漏れを視認した。臭気は感じなかった。HE-1723入口弁出口弁を閉止し孤立脱圧を実施したことで漏れは止まった。周囲の定置式ガス検知器の作動はなく指示値もLEL0％であった、落圧完了後、目視によりノズルとの弁の溶接線際の開口部と思われる箇所に塗装の剥がれが確認できた。損傷個所は、3/4B配管とバルブの隅肉溶接部際でネジ谷部からの割れであった。漏れ箇所はバルブの下側の割れ部だが、バルブ上側も割れが検出された。バルブは閉止されていたため、バルブ上側の割れからのガス漏れはなかった。バルブ下側の割れの形状は外面側35mm、内面側10mmであった。内面側観察の結果、腐食が無いため外面から割れが進行したものと判断できる。
当該3/4B配管をサポートしている位置が割れ部位から遠く、6B母管から3/4B配管への取出し部分が支点になり配管が揺れ易い形状であった。コンプレッサーからの振動が当該部に作用し、繰り返し応力が集中するネジ部を起点に割れたものと推定。","d","a","a","b","a"
61,13024,"現場パトロール中に運転員が脱プロパン塔入口配管部分に白色の霜が付着しているのを発見した。機器の不具合の疑いがあるため、装置を停止し、当該配管系統の窒素ガスによる系内パージおよび降圧、縁切りを実施した。その後、当該配管部の保温解体および切断し、目視およびPT検査を実施した結果、PT検査で指示模様が検出された。当該配管のダミーサポートは水抜き穴が架台と接触しやすい構造であった。原因は、架台に溜まった雨水がダミーサポート内部に侵入し、滞留したため、ダミーサポート内部で湿性腐食が発生し、配管が貫通したものと推定される。今後は、サポートの形状を水が滞留しない型式とする。また、同形体、同運転環境のダミーサポート部を展開検査する。","a","a","a","b","a"
62,6913,"14時15分頃、圧縮窒素の高圧ガス配管の溶接部分にき裂があることを確認した。直ちに高圧ガス設備の運転を停止し、高圧ガス配管の補修を実施した。","d","a","h","c","a"
63,562,"アンモニアプラントにフォークリフトが触れ、破損、アンモニアが漏えいした。","c","b","a","a","d"
64,15044,"当該冷凍機はNo.1～No.3の3系統を有する設備である。増産体制に対応するべく、5年間休止していた冷凍機の圧縮機No.3を運転したところ、運転圧力が上がらなかった。調査により、制水弁の保温部にクラックを発見した。メーカーのベローズキャップ亀裂部の調査結果から、破断面に粒界割れが確認できたものの、腐食成分が検出されなかった。原因は、約30年使用されたことから、経年劣化によってベローズキャップ部に粒界割れが発生したためと推定される。対策として、①亀裂が発生した制水弁を交換し、同タイプ(No.1,2)制水弁を予防保全として交換した(2017年8月に交換済み)。なお、制水弁予防保全の交換周期を設置後20年と定めた。","d","a","h","b","b"
65,18073,"11月5日10時35分頃、クロルメチル出荷ポンプ（起動時にメカニカルシール部からクロルメチル漏えいを確認した。","c","d","a","c","b"
66,503,"ハロゲン系炭化水素と弗酸を原料としてフロン22を製造する工程中反応釜で反応したのち蒸留塔に入った反応後のフロン22と塩化水素が蒸留塔の底部の2m/m位の穴からガスが噴出し附近住民がのど、目等の痛みを訴えた。","b","d","d","c","a"
67,16985,"3/2（月）8：25　冷凍機の圧力異常アラームが作動。
8：30　再起動作業
8：50　異常なく起動
14：00　冷凍機の圧力異常アラーム作動。
現場で液インジェクション配管の保温材隙間から白い煙が噴き出していることを確認。圧縮機を停止。
14：50　県産業保安課へ通報
","d","d","h","c","b"
68,14043,"10月27日(木)23時15分頃、現場パトロールにおいて、水素循環コンプレッサー(C-261)付近で音がすることに気づき、高感度ガス検知器で確認したところ、C-261吸い込み配管の圧力計ノズル付近で漏えいを検知した。発見者が職長に連絡し、保安係へ連絡し、ともに現場確認を実施した。23時40分に、コンプレッサーを停止(吸吐弁の閉止)して漏えいを停止させるとともに、プラントの緊急停止を行った。現在検討中である。","d","d","a","c","a"
69,13545,"1月24日18時46分、第二水和反応器(YR-301)出口から第一シクロヘキサノール分離塔(YT-303)へ送液する配管系の締結部より、油漏れが発生した。18時51分、シクロヘキサノール製造施設の運転を緊急停止した。18時52分に油漏れは停止したことを確認した。18時53分に運転主任が119番通報を実施した。漏れ量は、約848リットルであった。当該配管系の遮断弁と流量調節弁の2台がインターロックにより閉止した。復帰作業において、遮断弁と調節弁間の内液が減圧のために一部蒸発し、空間部のある状態で遮断弁を開放したため、遮断弁から流量調節弁(閉止状態)までの配管系内部で油撃作用が発生した。1)省力化を目的に遮断弁を設置したが、この際、開放操作時における油撃作用の発生の可能性を想定していなかった。2)遮断弁の復帰開放操作の基準に油撃に関する危険予知が織り込まれていなかった。今後は、①遮断弁の作動要因を変更する。②油撃の可能性のある類似箇所の見直しと改善を行う。③設備変更時の安全性評価に油撃の項目を追加する。④凍結対策の見直しと教育を行う。⑤油撃作用に関する教育を行う。","a","b","a","c","a"
70,18023,"当該設備は塩素ガスを液化塩素にしている施設である。運転管理している電解課制御室で塩素ガス検知のモニターに0.08ppmの指示（じょ限量0.5ppm)を確認し、現場係員が漏洩箇所を探していた所、塩素ガスを液化している液化器のチャンネルカバー上部に設置している圧力計付近からの漏れを発見し直ちに元弁を閉とし漏洩は停止した。","b","d","a","c","a"
71,15031,"7月7日(金)9時00分頃、空冷チラー故障警報が発報し、圧縮機No.3出口温度検知による冷凍防止制御が作動した。冷水配管へのエアがみを確認した。冷(温)水配管のエア抜きを行い、復旧した。圧縮機No.3の圧力指示値が若干低めのため、これ以降は圧縮機No.3を停止とした(ただし、ポンプNo.3は運転指令と連動のため、運転)。13時30分頃、空調設備保守会社が現地調査を実施したが、原因は特定できなかった。7月8日(土)、ビル管理会社が空冷チラーの運転状況を確認した。7月10日(月)9時00分頃、空冷チラー故障警報が発報し、圧縮機No.3出口温度検知による冷凍防止制御が作動した。7月7日と同様に冷水配管のエアがみを確認した。エア抜きをし、復旧した。さらに若干の圧縮機No.3の圧力指示値の低下を確認した(漏れ箇所は特定できず)。","d","d","h","c","a"
72,14022,"旧GRUからのBB配管の撤去を目的としてセイバーソーで誤って、隣の配管(当該BBライン)に切れ込みを入れてしまった。","d","b","h","a","d"
