"","No","事故状況","ガス種","原因","結果","突発性","状況"
357,3716,"フッ化ビニリデン製造設備の通常運転中に、蒸留塔下部に設置されているガス検知器が作動した。現場を確認したところ、蒸留塔下部リボイラーの液抜出し配管付近でフッ化ビニリデンの臭気を確認した。そのため、プラント停止作業に入ると同時に配管の保温材を外したところ、配管溶接部にピンホールがあり、そこからフッ化ビニリデンが漏えいしているのを発見した。この装置では12月19日にも同じ蒸留塔の下部配管で漏えい事故が発生している。","a","a","a","c","a"
386,5820,"パトロール中の運転員が、熱交換器におけるシェル側出口フランジ部での火災を発見し、直ちに社内119緊急通報を実施すると共にプラントの緊急停止を行った。火災は、プラント停止及び脱圧により防消火設備を使用することなく鎮火した。原因は、フランジ部を覆ったウェザーシールにおいて、開口部が小さかったためフランジ部の温度が上昇し、フランジ締付力が低下したためである。その結果、内部ガスが漏えいし、漏えいしたガスが自然発火したと推定される。当該ウェザーシールは、以前のパトロール中、ウェザーシール内に雨水の浸入跡が発見されたため更新されていた。しかし、更新では図面等は作成されず外観を元に現場における判断にて製作され、かつ既存のウェザーシールとの比較がしっかり実施されなかった。このため、既存のウェザーシールと通気口の数が異なってしまい（8個→4個に減少）、ウェザーシール内が以前より高温になってしまった。ウェザーシールの、設計・製作に関する規程はなかった。フランジの締め付けが相対的に若干低い箇所があったことも要因と考えられる。また、2004年に別会社の製油所において、ウェザーシール更新に起因する同様の事故が発生していたが、発災事業所では把握していなかった。なお、発災箇所は高温であるため、以前から吸入式によるガス検知を実施するなど、安全対策に気を使っていた部分ではあった。今後は、ボルト軸力管理の徹底、ウェザーシールの改善及び温度計による温度管理を実施することとした。","c","b","b","b","d"
311,9602,"9時30分頃、アルキレーション施設をパトロール中の作業員が、コンタクター（反応器）のメカニカルシール部より内容液の漏えいを発見した。ただちに装置を停止し、液抜き、パージ後に詳細な点検を行ったところ、メカニカルシール部でなく、シールオイルドレンボス溶接部のピンホールからの漏えいであることが判明した。原因は、装置の常用温度は7℃と外気温より低く、機器表面に結露が生じるため前面に保温が施されている。しかし、漏えいした部位は回転機のインペラ駆動用の軸が貫通しており、保温を施すことができない箇所であった。そのため、発生した結露により絶えず湿潤環境下に置かれたことで、外面腐食が進行し開孔したためと推定される。今後は、材質をSUS316に変更し、耐食塗装を行う。","d","a","a","b","a"
407,7598,"装置スタートアップの昇温中において、オペレーターの定期巡回中に五感により漏えいを感知し、調査の結果、当該バルブのグランド部より漏えいを発見した。増し締めにより、漏えいを停止させた。原因は、可動シール管理不良と推定される。","d","b","a","b","b"
59,16979,"高圧ポリエチレンプラントの定期修理期間中（3月1日～4月25日）、起動準備のため4月20日00時00分からエチレン凝縮装置のフロン12の流路設定を開始し、弁の開閉確認のためバルブキャップを外そうとしたが手回しで外れなかった。そのためパイプレンチを用いてバルブキャップを外そうとしたところ、バルブボンネットがバルブキャップと共回りして外れ、配管内の冷媒（フロン12、圧力：0.02MPaG、温度：－10℃）が漏えいし、運転員1名が両手と両太腿に被液した。フロン12の漏えいは被災者本人が直ちに後弁を閉め停止した（漏えい量：0.4kg）
被災者は救急車で医療センターに搬送され、凍傷と診断された。","d","a","d","a","c"
23,13864,"アルキレーション装置定期整備後のスタートアップ作業中に、ポンプ停止作業のために当該プラントに運転員が立ち入った際、臭気を感知した。周囲を点検したところ、コントロールバルブの下流配管部からLPGの漏えいを発見した。周囲を点検したところ、２FステージのD967上流配管でLPGの漏えいを発見した。直ちに直副長へ報告し、119番通報とともに漏えい箇所周辺のブロック作業を開始した。その後、漏えい箇所の配管およびタンク内の窒素パージを行った。漏えいが発生した部位の通常運転中の流体はLPGと同伴する濃硫酸(約93％)ミストであり、腐食環境は軽微である。一方、シャットダウン作業時のアルカリ中和洗浄および水洗に使用した水分がスタートアップまで残存した場合、スタートアップに伴う硫酸ミストの持ち込みにより、腐食性の高い希硫酸が生成される。このため、シャットダウン作業時にドレンカットを行うことで、水分を極力排除する手順となっている。しかしながら、水平配管である漏えい部やコントロールバルブ本体の底部等では水分が残存し希硫酸が生成しやすい形状になっている。さらにスタートアップ時はコントロールバルブが低開度にて運転されるため、特殊バルブ(偏心プラグ弁)が使用されており、バルブ弁体下流部に高流速域が形成されやすく、希硫酸が同時に存在したことで特異的な腐食減肉が発生したと推定される。漏えいが発生した部位の耐用年数は20年以上あるものの、極めて局部的な腐食減肉形態であるため、今後は、高圧ガス検査の定点肉厚測定箇所に追加設定することで、定期的な管理を行う。また、上記の検査結果を踏まえ、希硫酸が生成されにくい形状等への変更検討を必要に応じて追加する。","a","a","a","b","b"
244,14880,"ローリの受け入れ準備作業中、アンモニア貯槽行きの手動弁を開にした際、アンモニア臭を認知した。即、作業を中断した。石けん水で漏えい箇所の確認をしたところ、コンプレッサー本体銘板部からカニ泡程度の漏れを確認した。配管の残圧抜き(除害吸収槽行)等を実施した。4月4日、設備の定期修理作業において、アンモニア受入コンプレッサーの整備を行った際、クロスヘッド(軸)へのシール部品(Vパッキン)挿入作業において、クロスヘッドの段付き部でVパッキンを変形させたことに気づかずに組付けを終えた。定修後、10回目のローリ車受け入れ作業の際、アンモニア貯槽行きの手動弁を操作することで、コンプレッサーへ圧力(約0.7MPa)が掛かり、南側に配置された側の軸のVパッキン部を通過したアンモニアはコンプレッサー本体のオイル室部に至り、オイル室部の点検口となっていた銘板部から微量の漏えいが生じた。","c","b","a","b","a"
339,10602,"オペレーターのポンプ点検中に当該ポンプのメカニカルシールより漏えいが発生した。該当ポンプをブロックして縁切りし、漏えいを停止させた。原因は、メカニカルシール管理不良と推定される。","d","b","a","b","d"
38,15705,"夜勤の定期点検実施時にA号機のフラッシングオイル配管からの漏えいを発見し、B号機に切り替え実施した後、A号機の吸入・吐出弁を閉止し漏えいが停止したもの。振動起因による溶接止端部からの高サイクル疲労による割れ。
ロックワッシャー（廻り止め）施工不良⇒ポンプ発停の繰り返しで廻り止め緩み発生⇒回転体振れ廻り⇒内部接触による振動発生⇒応力集中部の溶接止端部からの疲労割れ発生。","d","b","a","b","a"
172,6682,"メタキシレンジアミン製造施設において、通常運転中、水添反応器の切り替え運転を実施していた。切り替え運転のため、水添原料加熱器へのスチームの供給を停止したところ、アンモニアガス検知警報器が作動した。運転員が現場を確認したところ、加熱器のチャンネルカバーフランジより漏えいが確認された。すぐに、散水による拡散防止措置、縁切り、内部流体の除害設備への移送・脱圧作業を行い、漏えいは止まった。原因は、チャンネルカバーフランジ部には、シール材（グラフォイルテープ）を併用していたが、このグラフォイルテープに、応力に対する復元力がなかったためとみられる。このため、スチーム供給停止に伴う温度低下によるフランジ部及びボルトの伸縮に対して、シール材が追従することができず、漏えいしたものと考えられる。さらに、調査の結果ガスケット当面に歪みが生じており、締め付けトルクが一定でなかった可能性がある。締め付けは油圧式締め付け機を使用して行われたが、シェルノズルの位置により、油圧式締め付け機を使用できないナットがあったため、一部のナットに対しては、手作業（ハンマー）による締め付けが行われ、トルク管理がなされていなかった。対策として、当該機器についてはガスケットのシール材を使用せず、ガスケットの材質を若干柔らかい材質に変更することとした。また、当該機器全てのボルト・ナットに油圧式締め付け機が使用できるように、シェルノズルの位置を変更し、チャンネルカバーフランジのガスケット当り面の機械加工を施し、歪みを修正した。さらに、ガスケットシール材の運用基準の作成、フランジガスケット当り面の歪みについて設計基準への追加、ボルトのトルク管理基準の確立、既設機器に対するトルク管理を実施するための計画的な機器の改造を行うこととした。","c","a","a","b","a"
463,6539,"酸化チタンプラントの塩化炉において通常運転中、塩化炉のトップの鏡板に穴が空き、炉内の四塩化チタンガスが漏えいした。漏えいしたガスは水分と反応し、水和酸化チタンが生成、白煙が発生した。直ちに液化塩素の供給を停止、窒素パージを実施したため、漏えいは停止した。当該損傷箇所の近傍の塩素パージノズルの内挿管の挿入長が、腐食によって110mmまで短くなっており（初期取り付け時は760mm）、鏡板内面において、塩素パージガスの偏流がおきた。また、反応器外部は冷却水によって冷却されているが、穴あき箇所外面には、鉄錆等の堆積物があり、冷却が不十分であったために、局部的な腐食が発生したものとみられる。内挿管の維持管理に関する基準が明確になっておらず、適切な管理が実施されていなかった。","b","b","a","b","a"
290,16719,"現場にて別作業（高圧ガス運転中保安検査）にあたっていたオペレーターが近傍にある当該箇所の導圧配管から臭気を感じた。
保温を撤去し確認した結果、配管の減肉（ピンホール）を特定した。保温板金劣化部から雨水が侵入し、雨水が溜まり外面腐食が進行したことにより開口し漏えいに至った。","d","a","a","b","a"
313,3954,"高圧法ポリエチレン製造施設で、酸コポリマー樹脂を常用圧で製造中に高圧分離器に設置している２個の破裂板のうち１個が破裂し、高圧分離器内のエチレンガス5.4㌧が放出管より大気放出された。この施設は平成１４年１２月１８日にも同様の事故を起こしており、検討が行われた結果、①環境要因として、水、塩素イオン、二硫化モリブデン、メタクリル酸の漏れによる金属の腐食。②材質要因として、破裂板が以前に比べて硬度が高く、腐食に弱い材質の使用が誘発。以上の原因より、破裂板は応力腐食割れにより破壊されたと推定された。今後の対策として、腐食を引き起こした腐食環境をすべて排除するとともに、破裂板の材質を腐食に強い材料に変更する。また、長期的な対策として、破裂板の構造をテンション型に変更することになった。","a","a","a","b","d"
436,13942,"9月2日(金)8時00分に、3か月点検のため、No.1LCLプラントを停止した。翌3日(土)に実施した当該プラント付属冷凍設備の冷媒回収時、冷媒量の低下を確認したことから、5日(月)に気密試験を実施した。その結果、オイルセパレーター(L-VE-15B)の本体フランジ、脱水器(L-VE-19B)の入口弁側フランジおよび入口弁グランド部からの気密漏れを確認した。①運転員が日常点検を実施していたが、微少漏えいおよび受槽のレベル低下に気づかず、長期間漏えいが継続した。②フランジ部のガスケットに損傷はなく、ボルトの片締め、温度変化による緩みがあったものと推定される。③弁グランド部については、締め付けの調整不良または緩みによるものと推定される。日常点検の認識について、従業員に再教育を行う。ゲージによるフランジ締め付けを強化する。弁操作時にグランド部の漏えい検査を実施する。検知器を併用し、漏えい検査を強化する。","c","b","a","a","d"
169,17099,"令和2年(2020年)4月10日（金）、冷媒不足による警報が鳴ったため、点検実施。同日18:15、室内機冷媒機配管より漏洩していることが判明。
令和2年(2020年)4月11日（土）、フロン回収。（フロン漏洩量：7.9㎏）","d","d","a","c","d"
136,515,"アンモニア工場で製造中停電により製造量を減らしたら受入先の硫安工場及びアクリルニトリル工場への連絡が悪く時間的なずれを生じたためアンモニア工場からの配管のバルブの圧力が上がり安全弁が吹き約300㎏が漏えいした。付近住民の若干名が目鼻の痛みの苦情あり。","c","c","a","b","d"
309,7314,"反応器の攪拌羽根を交換する工事を実施中に、突然爆発が起こり、工事をしていた協力会社の従業員2名が火傷を負った。原因は、反応器内部の攪拌羽根交換工事に際して、反応器内部の洗浄及び窒素置換により内部のガスをパージするとともに、反応器周りのバルブを閉止し、槽内へのガスの流入を防止する措置を講じたが、水素ラインのバルブに微少のシート漏れがあり、反応器内部へ水素ガスが流入したためと推定される。着火源は、不明である。今後は、反応器の開放工事を行う際は、可燃性ガス配管に、仕切り板又はエンドフランジを使用し遮断する。また、作業前に窒素等不燃ガスでパージし、可燃性ガスが爆発限界以下であることを確認することとした。","a","a","b","b","d"
204,17451,"令和2年12月6日15 : 34分、酸素プラント保冷槽内の下塔液化空気液面計に指示不良が生じたため、同月12日にかけて計器の交換等の原因調査を実施するも特定に至らなかった。翌13日に保冷槽外面下部に異常な霜付きが発生したことで内部でのガス漏えいが疑われたことから、プラントを停止。同月16日から23日にかけて保冷槽内部を満たしている断熱材（パーライト）を抜き出して内部の確認を行ったところ、空気液面計取出し導管に孔食が生じ、空気が漏えいしていることを確認した。","a","a","a","b","a"
118,12756,"19時53分、ジメチルアミノエチルアルコール・ジメチルアセトアミド製造施設を管理する第一化成課ジメチルアセトアミド(以下、DMAC)装置管制室にて、DMAC架構3階に設置しているガス検知器のアラームが鳴動した。点検したところ、20時頃にDMAC装置3階の反応器(R-1)下流の手動バルブよりプロセス流体が漏えいしていることを確認した。噴出量については、約0.0248m3と推定される。漏えい確認後、DMAC装置を緊急停止し、漏えいする刺激臭のあるガスに対して散水措置を実施した。あわせて配管内の残圧処理を行い、残液および残ガスを他タンクへの移送処理を行った。原因は、当該バルブは酢酸により長期にわたり徐々に全面腐食が進行していたが、その設備管理が不十分であったため、内部からの腐食の進行を把握できず、漏えいに至ったと推定される。今後は、①漏えい拡大防止措置を行う。②事故原因の究明および同環境下における個所の健全性を確認する。③同材質の弁等の腐食を継続的に確認し、計画的に更新を図る。④ソフト面で管理表等の見直しを図り、確実な管理体制を構築し、再発防止に努める。","a","b","a","b","a"
306,16766,"容器充填時に、圧縮機吐出２段スナッパー温度計保護管接続リングジョイント部で漏えいしているのを発見した。増締めを実施し、漏えいを停止させた。締め付け不足と推定","a","a","h","c","a"
371,4750,"廃プラスチックを細かく砕いて加熱し、ペレット状に成型する成型機のオイルシール部分から油漏れが発見されたため、オイルシールの交換作業を行うこととした。設備の内部機器を抜き出していたが内部で固着して引き抜けなかったため、熱膨張を利用して引き抜くこととした。当初、加熱源としてアセチレンと液化石油ガスのバーナーを使用していたが、火力が弱いと判断されたため、液化石油ガスのバーナーをより大きなものに交換しようとした。その際、容器元弁を閉めずに容器の接続部を外そうとしたため、液化石油ガスが漏えいし、何らかの着火源から引火し火災となった。消火作業を行い、火が消えた時点でアセチレン及び液化石油ガス容器元弁を閉めて鎮火した。この間に作業を行っていた2名が火傷を負った。","c","b","f","b","a"
24,15001,"8月19日9時55分頃、ブタンの移送を開始した。17時02分頃、ガス検知器が発報したため、現場確認を行ったところ、ブタン移送ポンプメカニカルシール部付近からガスが抜けている音(漏えいの状況:シュート音がする程度)を確認した。ブタン移送ポンプを停止し、吸引弁、吐出弁及びリターン弁の閉止を実施し、吐出側の圧力計ドレン弁より、フレキシブルチューブでフレアーへの脱圧を開始(漏えいの状況:極微量の漏えいに変化)し、119番への通報を行った。原因は調査中である。","a","d","a","c","b"
54,16226,"1月初旬より高低圧異常による停止が発生していたことから、1/15　14:00から製造メーカーによる機器点検を実施したところ、冷凍機の高圧圧力計行きラインの銅管と袋ナットの接触部より冷媒（R22）の漏えいを確認した。
冷凍機の冷媒充てん量と残存量から約36.8kgが漏えいしたと推定される。機器導入時の施工不良によって、袋ナットと接触していた銅管に傷が発生し、その傷が起点となって、経年使用による振動影響で疲労割れが生じた。","d","a","a","b","d"
60,15761,"5/17の定期自主検査時にバルブの開閉状況の確認をしたところ、窒素ガス充てん口パージガスラインの破断を発見した。元バルブは閉まっており漏えいはしていなかった。配管の老朽化と繰り返し応力により破断したものと推定。","d","a","h","b","a"
218,9640,"オペレーターの定期巡回中に五感により漏えいを感知し、調査の結果、当該バルブのグランド部より漏えいを発見した。増し締めにより漏えいを停止させた。原因は、シール管理不良と推定される。","d","b","a","b","a"
322,12118,"高圧ガス定期パトロールにおいて、安全弁（SV-109B）一次側フランジ近傍に携帯用COガス検知器をかざしたところ、反応があった。漏えい位置特定のため、安全弁一次側配管のフランジ溶接線近傍に石けん水を塗布し、カニ泡程度の漏えいを確認した。配管(STPG370-SR無)のフランジ部および管内面に発生した割れの原因調査として、断面からの光学顕微鏡観察(ミクロ/マクロ、ノーエッチング/エッチング後)を行い、“管の内表面割れ”、“内面および外面の溶接部割れ”が検出された。検出された割れは、枝分かれ状の粒内割れであった。原因は、材料がSR無しのカーボンスチール製である、溶接による応力が加わっていることおよび結露が生じたことから、CO-CO2-H2Oによる応力腐食割れと推定される。今後は、類似箇所で欠陥指示模様または疑わしいと思われる部位に対し、SR処理対応により配管を取り替える。また、他のガスプラントにおける類似箇所を抽出する(水平展開)。","b","a","a","b","a"
49,9649,"装置スタートアップ中、オペレーターの定期巡回中に五感により漏えいを感知し、調査の結果、当該バルブのグランド部より漏えいを発見した。ブロックして縁切りし、補修を実施した。原因は、シール管理不良と推定される。","d","b","a","b","b"
14,3536,"触媒に液化ブタン、水蒸気を吹き込み改質して水素を発生させている工場で、オペレーターが巡回していたところ、水素プラントの後工程である改質炉出口より4番目の熱交換器の出口配管下部ステージに水が溜まっているのを発見した。前日の巡回時には水がなかったことから、保温部を剥がしてＣＯ検知器で測定したところ、800ppmの値を示した。漏えい箇所を確認したところ、水平直管と枝分かれしているティー管の溶接継手部に約6mmの貫通亀裂を発見した。応急措置として耐熱性シートを被せ、金属板で覆い漏れを止めた。当該箇所は製品である水素ガスラインにつながっており、片方はリサイクルガスとして利用されている。調査の結果、リサイクルガス側のティー管周継手に熱応力による亀裂が発生したものとみられている。","a","a","a","b","a"
38,2919,"一般化学工場の構内に設置されていた20㌔ＬＰガス容器1本が盗難にあっているのが発見され、警察に届けた。","a","d","h","a","d"
249,1268,"アセトアルデヒド脱ガス塔の流量計フランジの溶接継手にピンホールがあり、この箇所からガスが漏えいした。フランジ部分には、スチームトレースがしてあり温度が上昇し、アセトアルデヒドの引火点185℃に達して発火したものと思われる。","a","a","b","b","a"
501,6760,"第2水添脱硫装置の低圧分離槽から放散塔行きの配管（STPG370,3B,SCH40）において、ライトナフサ及び水素（微量）が漏えいしているのを、パトロール中の運転員が発見した。応急処置として配管漏えい部にバンド巻きを行い、その後、当該装置の運転を停止した。当該配管の肉厚測定結果では、残存肉厚:2.3mmであり、必要肉厚:0.3mmに対して十分余裕があると判断されていた。漏えい個所については、行き止まり配管で、電気抵抗溶接管の溶接部が選択的に腐食していた。行き止まり配管の滞留部にスケールが堆積し、スケール下において加速的に腐食が進行し、ピンホールが生じ漏えいに至ったものとみられる。対策として、行き止まり配管等のデッド部について検査結果の再確認及び追加の検査を実施することとした。また、配管デッド部の検査手順書を作成し、検査方法の明確化を図り、詳細検査及び拡大検査実施要領を作成し、追加検査や検査範囲の拡大に関する判断基準を明確化することとした。","a","a","a","b","a"
164,281,"ナフサユニファイニング装置（粗製ガソリン水添脱硫装置）の定期修理清掃の目的で運転を停止し作業中、誤って装置内の圧力が2.5㎏/c㎡の圧力があるにもかかわらず、装置内の分離液を抜くためバルブをあけたところ硫化水素が噴出し、作業中の従業員3名が死亡し、他に3人がガス中毒の被害を受けた。圧力がかかっていることを確認しないままバルブを開いたため、ガスが噴出したものとみられている。","c","b","d","a","c"
126,14868,"反応塔降温操作、現場巡回中に第3灯軽油水素化脱硫装置第2反応塔入口フランジ部付近で火災を発見した。所内一斉連絡で二次出動を要請し、公設消防へ通報した。同装置緊急停止、初期消火活動を実施し、公設消防が鎮火を確認した。①発災箇所の反応塔入口フランジ部の検査:火災に炙られた部位が高温による強度低下や劣化が生じていないか、当該フランジ部およびその近傍で煤の付着などで変色を認めた部位の硬度測定を実施した結果、いずれも健全部と比較して異常は認められなかった。このため、強度低下や劣化は生じていないことがわかった。②当該フランジ部の検査:フランジ部の開放検査の結果、ガスケット当たり面およびガスケットに傷、腐食などの損傷は認められなかった。また、フランジ締め付けボルトにも異常は認められなかった。","a","d","b","b","a"
123,12836,"当該ブライン冷凍機は、酢酸綿製造工程における除熱に使用する塩化カルシウムブラインを冷却する装置で、安定に運転を継続していた。事故発生時、集中操作室において「軽故障アラーム」が発報したため、現場にて確認したところ、圧縮機が停止しており、膨張弁出口から圧縮機を繋ぐ銅管ライン周辺より冷媒の漏えいを発見した。直ちに当該ブライン冷凍機を停止し、安全環境部に連絡し、その後、消防機関へ通報した。漏えいした冷媒量は279kgと推定される。原因は、調査中である。","d","d","a","c","a"
243,5190,"水素製造装置及び間接脱硫装置のコンデンセートセパレータの胴板が噴破開口し、200ｍ3～480ｍ3の水素ガスが漏えいした。漏えいした水素ガスは、数秒間付近に滞留し、何らかの着火原により引火・爆発した。この爆発により、同装置の配管類及び機器が損傷し、ナフサ、水素、減圧軽油等が漏えいして引火炎上した。原因は、当該機器が流体中のガスと水分を分離する機器であり、機器内部には大量の水、水素ガス及びミストの他に微量の一酸化炭素ガス及び二酸化炭素ガスが流れ込むが、流体が流れ込む際に機器内部の胴部に衝突し、主にエロージョンにより減肉が発生したためとみられる。さらに、当該機器は平成7年にも胴部が開口しガスが漏えいする事故が発生していたが、その後平成8年に当該機器を更新した際、以前のバッフルプレートタイプからインナーノズルタイプへ変更していた。この際、設計時にエロージョン・コロージョンの発生、機器内部の胴部への流体の衝突部位等に関する詳細な検討がなされていなかったことも一因である。今後は、設備・運転の変更管理システムを改善し、変更による影響評価について詳細に検討することとした。また機器の設備管理について、定点設定基準及び内面検査方法を見直し、改善することとした。さらに変更管理と設備管理の連携を改善することとした。","a","b","e","b","a"
356,919,"コールドボックス破裂事故を起こした空気分離装置を修復し、テスト運転中、再び外装が変形した。（原因）コールドボックス内の熱交換器の切換へ装置が故障したため、緊急停止をしたところ、コールドボックス内が負圧になり、外気が侵入、以前から装置内にあった空気が低温により液化したものが運転を停止したため液体空気が急に気化した。このためコールドボックスの圧力が急上昇し、外装をふくらませ液酸採取管が破断した。","c","a","a","b","a"
319,8393,"7月30日、事業所内で、窒素CEの府保安対策課の保安検査を実施したが、気密検査での漏えいは認められなかったため、8月2日、設備を再稼動した。8月6日、日常点検時に、職長が保安検査時に指摘を受けた設備腐食箇所に石鹸水を塗布した際、液取弁の上流側溶接箇所にカニ泡程度の漏れを確認したため、係長に報告した。この設備は、他社の所有のため、事業所と所有者が本件の対応を協議した。所有者の見解では、過去の類似の事例では変更許可(肉盛溶接)で処理しており、事故届の提出の必要は無いとの判断であったため、事故届を提出しなかった。8月26日、漏えい箇所を肉盛溶接するための、変更許可申請の申請方法について、府保安対策課に相談したところ、漏えいが発覚した。原因は、このCEは、昭和60年5月に許可を受け、使用開始から25年が経過しており、経年劣化と推定される。","d","a","a","b","c"
140,12195,"運転員の定期巡回の際、第1反応塔(50D-2A/C)フィード配管に霧状のものを発見し、携帯ガス検知器を近づけたところ、ガスが微量漏えいしていることを確認したため、当該装置を停止した。検査の結果、配管の割れはアルカリ脆化割れが発生し、進展したことが確認された(本装置の流体にはアルカリ成分は含まれていない。)。原因は、過去の運転で蒸留装置での苛性ソーダ洗浄により、アルカリ成分が持ち込まれ洗浄が不十分であったこと、滞留部であったこと、アルカリ脆化割れの発生領域70～80℃であったと推定される。なお、蒸留装置の苛性ソーダ洗浄は現在は行われていない。","d","b","a","b","a"
359,11419,"11月6日に、吸込圧力低下(凍結防止)の警報により、冷凍機が停止した。調査の結果、冷媒漏れと断定し、冷媒ガスの回収を実施したところ、全量97kgに対し、40.5kgの漏えいが判明した。回収翌日の7日より、漏れ箇所を調査した結果、11月11日に、サイトグラスの締め付け部(ねじ込み。シールはOリング。)からの漏えいが確認された。当該サイトグラスは、工場製作時に、規定トルク7.9N･mで締め付けるようになっていたが、作業者に徹底ができていなかったた。原因は、作業者がトルクレンチを使用せずに経験にて締め付けたことに伴うトルク不足によるものと推定される。また、運転時の熱サイクルおよび振動により、サイトグラスが緩む方向に作用したものと考えられる。今後は、事業所内の他冷凍設備の点検を行うとともに本事故事例を従業員へ周知する。","d","b","a","c","d"
96,17241,"酸化エチレン貯槽から計量槽へ移送中、貯槽下部のガス検知器が発報した。運転員がポータブルガス検知器を用いて点検を行い、貯槽直近の手動弁グランド部からの漏えいを確認し、移送を停止した。グランド部の増し締めにて、漏えいは停止した。","c","d","a","c","b"
220,16846,"2018年9月から休止している計装空気用の除湿器（スタンバイ機）について、フロン排出抑制法による年1回の定期点検のため2019年12月12日に試運転したところ、冷凍機油に混入した冷媒ガス（R22）1.9kgが冷却水とともに油水分離槽へ漏れ出したもの。","d","d","a","c","c"
252,17247,"<8月8日>
①8：25　現場パトロールにて当該冷凍機圧縮機の吐出配管のオイルによる漏れを発見し、直ぐにフロンチェッカーにてフロン漏れを確認（系内フロンには微量オイルが混在。）。
②8：30　プラント停止操作を開始。
③9：12　冷凍機停止。
④13：30　メーカーにて冷媒抜出し。充填量45kg、回収量37.3kg、漏えい量7.7kgを確認。","d","d","a","c","c"
140,7582,"オペレーターの定期巡回中に五感により漏えいを感知し、調査の結果、当該バルブのボンネットフランジより漏えいを発見した。縁切りにより漏えいを停止させた。原因は、締付け管理不良と推定される。","a","b","a","b","d"
247,16599,"レシーバーポンプケーシングブリーダー弁配管よりLPGが漏えいした。
不具合覚知後、予備機に切替え当該機器の使用を停止、バルブブロック後、ポンプ内の脱圧を実施、漏えいを停止させた。・直接原因
原因は、水分起因による経年的な内面腐食による開口と推定する。理由は以下の通り。
1）当該配管は、ケーシングボトムに付いているためドレンが溜まりやすい構造であった。
2）超音波肉厚測定の結果、漏えい個所近傍肉厚が最小値0.9t（元厚4.7t）を確認した。
3）当該配管上流設備であるレシーバーブーツ水の分析を1回/月、実施し傾向管理を行っているが、過去4年間の分析結果に大きな変化は無いことから、運転管理面での腐食減肉に影響する変更がないと判断した。
・本質原因
本質原因の要因は、「保全計画の不備」と判断する。
今回の漏えい部位（ポンプケーシングブリーダー）を含む、ポンプ本体の付属配管については、2018年度より優先順位付けを行い計画的に管理（肉厚測定）を実施してた。今回、不具合が発生した高圧ガス機器（全120台）については、2019年9月より肉厚測定を実施し、、余寿命管理を実施する計画であったが、計画前に不具合が発生した。","a","a","a","b","a"
57,16424,"液化塩素製造施設を通常運転中、13時25分頃中央管理室で当該施設の貯槽室内の塩素漏えい検知器の値が0.5ppmに上昇しているのを確認した。当該事務所の保安係員1名が現場へ急行し、液化塩素貯槽（V-153）の塩素受け入れ弁下流フランジ部より漏えいしていることを確認した。直ちに当該フランジの増締めを行い、室内の塩素ガスの除害処理を開始し、その後119番通報した。消防によりフランジ漏えい部の応急処置が行われた。貯槽内の液化塩素は後日、自消費とタンクローリー車による抜出し処理を行った。なお、塩素ガスの漏えい量は微量であり、貯槽室外への漏えいはなかった。昨年の7月に実施した保安検査に伴い、当該フランジを復旧した。その時、ボルトの片締めによりガスケット面圧の不均一状態で、微量の塩素ガスが漏えい。フランジ面に結露した水分に塩素ガスが溶け込んだ結果、塩酸が生成し局部的にphが低下し腐食を引き起こした。腐食はフランジの外面側から内面側に進行し、ガスケット当り面の減肉によりシール機能が喪失し、塩素ガスが漏えいしたと推定。","c","a","a","b","a"
509,16935,"施設の定期点検において、石けん水による配管の気密試験を実施したところ、蒸発器の出口配管からカニ泡状の漏えいが確認されたもの。直ちにバルブ操作を行い漏えいは停止。","d","d","a","c","c"
196,16377,"現場パトロール中の運転係員が、吸収塔付属液面計の取出し導圧管から滲みを発見したもの。硫化水素を含有するプロセスガスにより配管内面の腐食が発生し、硫化鉄がスケールとして堆積した。堆積したスケールにより、局部的な腐食が進行し、開口に至ったもの。","c","a","a","b","c"
75,1868,"メチルメルカプトソーダ（MMS）製造工場で900㌔メチルメルカプタン容器を35℃の水槽に設置し、気化したガスを減圧弁で1.5㎏/c㎡にしメタノール溶液中に吹き込み、MMSの反応・濃縮の作業をほぼ終えた頃、排水ピットの液面警報が鳴ったので作業員が現場にかけつけたが、特に異常が見つからなかったので警報停止ボタンを押し、次工程の反応槽内に残った未反応メチルメルカプタンガスを次亜塩素酸ソーダと苛性ソーダの混合水溶液で分解・脱臭処理をしていたところ、漏えいしていたガスを吸入して倒れた。","d","b","d","b","a"
503,10366,"事業所内で、作業員が現場パトロール中に、オクタノール製造施設での漏えいを発見した。その後、装置切り替えバイパス運転を行い、県防災対策部、消防本部予防保安課へ連絡した。原因は、保温外装不具合部から雨水が侵入し、配管外面が腐食したためと推定される。","a","a","a","b","a"
238,778,"脱硫装置硫化水素吸収塔のゲージグラスより出火した。ゲージグラスに接するシール側のガスケットに最初から傷があり、その傷が長期使用中に成長し同部より水素ガスが噴出し、静電気より着火した。","a","a","b","b","d"
169,1329,"農薬製造施設（臭化水素を使用）農薬工場臭化反応装置の異常により吸収塔から１分間毒薬物がもれた。","b","d","a","c","a"
